n_original,n_relleno_cola,n_efectivo,cola_target_constante,empates_intermedios
524,0,524,False,59
167,0,167,False,5
322,0,322,False,43
170,0,170,False,1
410,0,410,False,92
2135,0,2135,False,471
275,0,275,False,4
472,0,472,False,50
367,0,367,False,22
278,0,278,False,34
78,0,78,False,23
387,0,387,False,18
2236,0,2236,False,1429
33,0,33,False,0
199,0,199,False,3
1250,0,1250,False,331
437,0,437,False,58
273,0,273,False,10
93,0,93,False,33
452,0,452,False,46
626,0,626,False,104
597,0,597,False,141
47,0,47,False,13
36,0,36,False,2
941,0,941,False,109
158,0,158,False,4
386,0,386,False,53
268,0,268,False,11
656,0,656,False,80
514,0,514,False,59
154,0,154,False,2
657,0,657,False,168
254,0,254,False,3
211,0,211,False,49
42,0,42,False,9
466,0,466,False,53
423,0,423,False,51
427,0,427,False,48
318,0,318,False,46
78,0,78,False,26
1069,0,1069,False,320
472,0,472,False,53
192,0,192,False,2
356,0,356,False,7
440,0,440,False,18
434,0,434,False,19
56,0,56,False,14
195,0,195,False,2
50,0,50,False,16
1017,0,1017,False,127
268,0,268,False,27
1245,0,1245,False,122
736,0,736,False,107
279,0,279,False,36
1473,0,1473,False,619
605,0,605,False,84
385,0,385,False,53
60,0,60,False,14
343,0,343,False,60
44,0,44,False,15
719,0,719,False,229
229,0,229,False,95
251,0,251,False,22
671,0,671,False,86
666,0,666,False,179
1300,0,1300,False,142
286,0,286,False,38
176,0,176,False,28
260,0,260,False,27
2026,0,2026,False,586
612,0,612,False,63
299,0,299,False,58
188,0,188,False,39
938,0,938,False,112
621,0,621,False,98
2057,0,2057,False,662
1412,1,1411,True,822
84,0,84,False,18
547,0,547,False,69
441,0,441,False,40
1157,0,1157,False,387
452,0,452,False,47
44,0,44,False,24
165,0,165,False,1
269,0,269,False,22
358,0,358,False,8
910,0,910,False,88
321,0,321,False,24
46,0,46,False,9
598,0,598,False,116
991,0,991,False,255
565,0,565,False,78
1174,1,1173,True,663
894,0,894,False,80
413,0,413,False,11
640,0,640,False,95
547,0,547,False,59
307,0,307,False,38
129,0,129,False,22
241,0,241,False,5
400,0,400,False,54
807,0,807,False,126
397,0,397,False,13
282,0,282,False,22
745,0,745,False,259
104,0,104,False,10
398,0,398,False,53
678,0,678,False,91
399,0,399,False,54
1190,1,1189,True,674
365,0,365,False,27
44,0,44,False,10
547,0,547,False,78
536,0,536,False,80
288,0,288,False,36
679,0,679,False,197
49,0,49,False,17
638,0,638,False,84
1116,0,1116,False,490
555,0,555,False,83
199,0,199,False,5
329,0,329,False,8
1141,0,1141,False,94
1322,0,1322,False,537
648,0,648,False,89
710,0,710,False,102
248,0,248,False,26
756,0,756,False,278
713,0,713,False,95
692,0,692,False,122
416,0,416,False,14
170,0,170,False,0
321,0,321,False,10
474,0,474,False,127
454,0,454,False,64
2245,0,2245,False,536
591,0,591,False,141
1230,0,1230,False,97
679,0,679,False,90
426,0,426,False,14
95,0,95,False,34
51,0,51,False,15
406,0,406,False,53
247,0,247,False,56
349,0,349,False,34
588,0,588,False,140
643,0,643,False,84
333,0,333,False,27
99,0,99,False,38
619,0,619,False,158
650,0,650,False,101
621,0,621,False,227
412,0,412,False,33
102,0,102,False,15
67,0,67,False,19
799,0,799,False,117
612,0,612,False,114
793,0,793,False,142
93,0,93,False,39
373,0,373,False,11
395,0,395,False,29
449,0,449,False,45
40,0,40,False,7
53,0,53,False,10
155,0,155,False,3
803,0,803,False,124
133,0,133,False,0
124,0,124,False,2
797,0,797,False,239
281,0,281,False,16
139,0,139,False,0
386,0,386,False,43
190,0,190,False,2
230,0,230,False,12
1299,0,1299,False,295
907,0,907,False,193
566,0,566,False,70
2277,0,2277,False,641
1205,0,1205,False,92
149,0,149,False,5
1087,0,1087,False,113
761,0,761,False,291
372,0,372,False,12
442,0,442,False,23
241,0,241,False,7
267,0,267,False,27
385,0,385,False,56
